qtype,qcode,question,group,answer,e1,e2,aee1,aee2,hard,c1,c2,cchange,sd1,sd2,sd2.sd1,best,worst,aee1.ans,num,calibration,improve,propimprove
dates,3,Beethoven,12,1827,1680.25,1558.75,146.75,268.25,6.5,1.25,2.5,1.25,227.7460208,43.9952649,0.193176876,1839,1470,0.080322934,4,-0.774596669,0,0.5
dates,3,Beethoven,13,1827,1672.8,1794,154.2,33,6.2,2.4,4,1.6,201.2938151,51.76871642,0.257179866,1850,1410,0.084400657,5,0.564288094,1,1
dates,3,Beethoven,14,1827,1632.5,1588.75,194.5,238.25,6,1.75,2.25,0.5,138.1725974,153.9683409,1.11431893,1810,1500,0.106458675,4,0.632455532,0,0.25
dates,3,Beethoven,15,1827,1669,1623,158,204,6,2.75,3.25,0.5,89.21135952,46,0.515629402,1800,1600,0.086480569,4,-0.737864787,0,0.25
dates,3,Beethoven,16,1827,1765,1823.333333,62,3.666666667,6,2,5,3,145.5163221,25.16611478,0.172943587,1820,1600,0.033935413,3,1,1,0.666666667
dates,3,Beethoven,17,1827,1789.75,1746.5,37.25,80.5,4.75,3.5,3.75,0.25,132.6156728,45.11836285,0.340218934,1830,1684,0.020388615,4,0.948683298,0,0.75
dates,3,Beethoven,18,1827,1822.5,1860.5,4.5,33.5,6,2.25,5,2.75,50.74445783,11.15048579,0.219738002,1795,1765,0.002463054,4,-0.632455532,0,0.75
dates,3,Beethoven,19,1827,1808,1816,19,11,6,2,3.25,1.25,81.35928548,44.36214603,0.545262237,1825,1690,0.010399562,4,0.316227766,1,0.5
dates,3,Beethoven,20,1827,1847.5,1841.75,20.5,14.75,5.75,2.25,5.5,3.25,28.43120352,9.945685832,0.349815857,1835,1880,0.01122058,4,0.632455532,1,0.75
dates,3,Beethoven,21,1827,1811.666667,1792,15.33333333,35,5,4.666666667,6,1.333333333,33.20140559,0,0,1850,1792,0.008392629,3,-0.866025404,0,0
dates,3,Beethoven,22,1827,1597.75,1516.75,229.25,310.25,4.75,3,2.5,-0.5,187.5462165,51.5323523,0.274771484,1850,1400,0.125478927,4,0,0,0.25
dates,3,Beethoven,23,1827,1868.75,1796.5,41.75,30.5,4.75,3.25,4.25,1,77.48279379,15.02220579,0.193877957,1804,1950,0.022851669,4,-0.948683298,1,0.75
dates,3,Beethoven,24,1827,1698,1643.25,129,183.75,5.25,2.75,5.25,2.5,166.7713005,14.31491064,0.085835576,1921,1520,0.070607553,4,0.25819889,0,0.25
dates,3,Beethoven,25,1827,1692.4,1718.8,134.6,108.2,5.6,2,2.6,0.6,108.9095955,76.24106505,0.700039925,1840,1575,0.073672687,5,0.158113883,1,0.6
dates,3,Beethoven,26,1827,1814,1838.6,13,11.6,6,2.2,3.6,1.4,74.09116007,13.77679208,0.185943803,1830,1687,0.00711549,5,0.105409255,1,0.6
dates,3,Beethoven,27,1827,1818,1844.4,9,17.4,5,4,5.2,1.2,78.53661566,15.45315502,0.196763699,1836,1680,0.004926108,5,0.948683298,0,0.4
dates,3,Beethoven,28,1827,1681.4,1781.8,145.6,45.2,5.8,2.4,4.2,1.8,214.2983901,101.9127077,0.475564505,1824,1400,0.079693487,5,0.782623792,1,0.6
dates,3,Beethoven,29,1827,1862.8,1845.4,35.8,18.4,5.4,3,4,1,84.98058602,20.99523756,0.247059223,1835,1945,0.019594964,5,-0.111803399,1,0.8
dates,3,Beethoven,30,1827,1658,1694.6,169,132.4,5.4,2.2,3.6,1.4,216.7060221,66.938778,0.308892099,1762,1415,0.092501368,5,0.670820393,1,0.8
dates,3,Beethoven,31,1827,1738.666667,1749.333333,88.33333333,77.66666667,5.333333333,2.166666667,3,0.833333333,77.02899887,61.02349274,0.792214538,1860,1642,0.048348841,6,-0.617914381,1,0.333333333
dates,3,Beethoven,32,1827,1684.75,1722.25,142.25,104.75,5.25,2.5,3,0.5,99.14761722,44.5,0.448825713,1789,1550,0.07785988,4,0,1,0.25
dates,3,Beethoven,33,1827,1805.5,1860,21.5,33,5.5,2.5,4.75,2.25,110.8798148,31.88521078,0.287565513,1802,1650,0.011767926,4,0.774596669,0,0.5
dates,3,Beethoven,34,1827,1549.5,1585,277.5,242,5,4,4,0,171.2337584,23.80476143,0.139019091,1690,1300,0.151888342,4,-0.948683298,1,0.25
dates,3,Beethoven,35,1827,1607.5,1750,219.5,77,5.5,3,3.75,0.75,308.0449101,0,0,1780,1200,0.12014231,4,0.894427191,1,0.5
dates,3,Beethoven,36,1827,1688,1706.4,139,120.6,6,2.4,2.2,-0.2,249.9029812,74.41975544,0.297794588,1856,1292,0.076081007,5,0.866025404,1,0.6
dates,3,Beethoven,37,1827,1675.8,1843.8,151.2,16.8,5.6,3.8,5,1.2,173.3528194,66.69107886,0.384712975,1836,1508,0.082758621,5,-0.2,1,0.6
dates,3,Beethoven,38,1827,1710,1822.5,117,4.5,5.75,2.25,4,1.75,151.8771433,48.56267428,0.319749721,1840,1500,0.064039409,4,0.774596669,1,0.75
dates,3,Beethoven,39,1827,1603.25,1682.5,223.75,144.5,5.75,3,4.25,1.25,272.2417737,5,0.018366028,1783,1200,0.122468528,4,0.774596669,1,0.25
dates,9,Columbus,2,1492,1490.333333,1491.666667,1.666666667,0.333333333,3,6.333333333,6.666666667,0.333333333,2.886751346,0.577350269,0.2,1492,1487,0.001117069,3,0.5,1,0.333333333
dates,9,Columbus,3,1492,1534.666667,1479.333333,42.66666667,12.66666667,3.666666667,5.333333333,5,-0.333333333,101.0016502,15.53490693,0.153808447,1492,1650,0.028596962,3,0.5,1,0.333333333
dates,9,Columbus,4,1492,1490.5,1491,1.5,1,3.75,4,5.25,1.25,1,0,0,1491,1489,0.001005362,4,0.25819889,1,0.25
dates,9,Columbus,5,1492,1590,1489.6,98,2.4,3.6,4.4,5.2,0.8,150.0666519,4.335896678,0.028893139,1492,1832,0.065683646,5,0.860309002,1,0.4
dates,9,Columbus,6,1492,1538,1486,46,6,2.4,5.4,7,1.6,83.84509527,13.41640786,0.160014224,1492,1682,0.030831099,5,0.684210526,1,0.6
dates,9,Columbus,7,1492,1610.75,1492,118.75,0,3.25,3.5,4.75,1.25,140.9524151,0,0,1492,1776,0.079591153,4,0,1,0.75
dates,9,Columbus,8,1492,1542.25,1469,50.25,23,3.25,4.75,6,1.25,114.2231004,44.67661581,0.39113468,1492,1713,0.033679625,4,0.737864787,1,0.5
dates,9,Columbus,10,1492,1493.2,1492,1.2,0,3.8,4.6,7,2.4,3.898717738,0,0,1492,1500,0.00080429,5,0.917662935,1,0.4
dates,9,Columbus,11,1492,1507.5,1492,15.5,0,3.5,5,7,2,57.55866572,0,0,1492,1590,0.01038874,4,0.055555556,1,0.5
dates,9,Columbus,12,1492,1519,1492,27,0,3,5.25,6.5,1.25,123.2179641,0,0,1492,1692,0.018096515,4,0.737864787,1,0.5
dates,9,Columbus,13,1492,1433.6,1492,58.4,0,3,5.2,6.4,1.2,257.3961927,0,0,1492,1000,0.039142091,5,0.917662935,1,0.4
dates,9,Columbus,15,1492,1548,1498,56,6,3.75,5.25,6,0.75,60.13318551,4,0.066519011,1492,1600,0.037533512,4,0.833333333,1,0.75
dates,9,Columbus,16,1492,1527.666667,1491.666667,35.66666667,0.333333333,3.333333333,4,6,2,62.64449963,0.577350269,0.009216296,1492,1600,0.023905273,3,1,1,0.333333333
dates,9,Columbus,17,1492,1616.75,1487.25,124.75,4.75,2.75,6,5.75,-0.25,152.1827301,5.5,0.036140763,1492,1800,0.083612601,4,0.632455532,1,0.5
dates,9,Columbus,18,1492,1547.25,1492,55.25,0,2.25,5.5,7,1.5,108.5092162,0,0,1492,1710,0.037030831,4,0.5,1,0.5
dates,9,Columbus,19,1492,1629,1491.5,137,0.5,2.25,5.75,6.5,0.75,214.0311504,1,0.004672217,1492,1942,0.091823056,4,-0.316227766,1,0.5
dates,9,Columbus,20,1492,1628.25,1488,136.25,4,3.25,5,5.75,0.75,171.9154346,1.632993162,0.009498816,1490,1842,0.091320375,4,-0.316227766,1,0.5
dates,9,Columbus,21,1492,1515.333333,1492,23.33333333,0,4,5,6.666666667,1.666666667,40.41451884,0,0,1492,1562,0.015638963,3,0.866025404,1,0.333333333
dates,9,Columbus,22,1492,1499,1492,7,0,2,6.25,6.75,0.5,14,0,0,1492,1520,0.004691689,4,0.816496581,1,0.25
dates,9,Columbus,23,1492,1512,1492,20,0,3,4.75,6,1.25,78.58753082,0,0,1492,1624,0.013404826,4,0.948683298,1,0.5
dates,9,Columbus,24,1492,1490,1492,2,0,2.5,4.75,6.75,2,29.48445918,0,0,1492,1452,0.001340483,4,1,1,0.5
dates,9,Columbus,25,1492,1473.6,1492,18.4,0,1.6,6,6.6,0.6,41.14365079,0,0,1492,1400,0.01233244,5,0.790569415,1,0.2
dates,9,Columbus,26,1492,1563.8,1490.6,71.8,1.4,4.6,3.8,5.6,1.8,85.48216188,0.894427191,0.01046332,1492,1693,0.048123324,5,0.872081599,1,0.6
dates,9,Columbus,27,1492,1527.6,1492,35.6,0,2.4,6.2,7,0.8,79.60402,0,0,1492,1670,0.02386059,5,0.612372436,1,0.2
dates,9,Columbus,28,1492,1431.2,1493.2,60.8,1.2,4.4,4.4,6.6,2.2,78.62060799,2.683281573,0.034129494,1492,1300,0.04075067,5,1,1,0.6
dates,9,Columbus,29,1492,1631.6,1492,139.6,0,3.8,4.6,6.4,1.8,195.6547981,0,0,1492,1900,0.093565684,5,0.645497224,1,0.4
dates,9,Columbus,30,1492,1479.8,1582,12.2,90,3.6,5,6.2,1.2,31.94056981,201.246118,6.300642698,1492,1423,0.008176944,5,0.802955069,0,0.2
dates,9,Columbus,31,1492,1525.333333,1492,33.33333333,0,3.333333333,5.166666667,6.5,1.333333333,81.64965809,0,0,1492,1692,0.022341376,6,0,1,0.166666667
dates,9,Columbus,32,1492,1531.5,1492,39.5,0,3,5,7,2,79,0,0,1492,1650,0.026474531,4,0.816496581,1,0.25
dates,9,Columbus,33,1492,1531.25,1492,39.25,0,3.25,5.5,6.25,0.75,79.16807016,0,0,1492,1650,0.026306971,4,0.632455532,1,0.5
dates,9,Columbus,34,1492,1496,1492,4,0,2.75,5.5,6,0.5,81.7801932,0,0,1492,1600,0.002680965,4,0.210818511,1,0.5
dates,9,Columbus,35,1492,1561.25,1492,69.25,0,3,5.5,6.5,1,89.93099206,0,0,1492,1680,0.046414209,4,0.8,1,0.75
dates,9,Columbus,36,1492,1566.2,1492,74.2,0,2.6,5.4,6.8,1.4,165.9162439,0,0,1492,1863,0.049731903,5,0.745355992,1,0.2
dates,9,Columbus,37,1492,1492.8,1492,0.8,0,1.8,6,6.4,0.4,1.788854382,0,0,1492,1496,0.000536193,5,0.395284708,1,0.2
dates,9,Columbus,38,1492,1567,1491,75,1,4.75,2.5,4.25,1.75,126.0740523,0.816496581,0.006476325,1492,1750,0.050268097,4,0.632455532,1,0.75
dates,9,Columbus,39,1492,1562,1492,70,0,3.25,5.75,7,1.25,140,0,0,1492,1772,0.04691689,4,0.816496581,1,0.25
dates,2,Declaration,1,1776,1772.75,1776,3.25,0,2.75,5.25,7,1.75,5.251983752,0,0,1776,1765,0.001829955,4,0.544331054,1,0.5
dates,2,Declaration,3,1776,1806.666667,1776,30.66666667,0,2.666666667,5.333333333,6.333333333,1,53.11622477,0,0,1776,1868,0.017267267,3,0.866025404,1,0.333333333
dates,2,Declaration,5,1776,1767.6,1776,8.4,0,3,5.4,6.6,1.2,14.72412986,0,0,1776,1742,0.00472973,5,0.917662935,1,0.4
dates,2,Declaration,6,1776,1768,1776,8,0,2,6.4,7,0.6,63.87879147,0,0,1776,1667,0.004504505,5,0.875,1,0.4
dates,2,Declaration,8,1776,1778.75,1776,2.75,0,3.75,4.5,7,2.5,56.02008568,0,0,1776,1850,0.001548423,4,1,1,0.5
dates,2,Declaration,10,1776,1774.2,1776,1.8,0,3.2,5.6,7,1.4,4.024922359,0,0,1776,1767,0.001013514,5,0.72547625,1,0.2
dates,2,Declaration,13,1776,1807.8,1776,31.8,0,3,5.4,6.8,1.4,75.06130828,0,0,1776,1942,0.017905405,5,0.973328527,1,0.6
dates,2,Declaration,15,1776,1771.75,1776,4.25,0,3.5,4.5,5.75,1.25,7.93200269,0,0,1776,1760,0.002393018,4,0.632455532,1,0.75
dates,2,Declaration,16,1776,1774.666667,1776,1.333333333,0,2.666666667,5.666666667,6.666666667,1,2.309401077,0,0,1776,1772,0.000750751,3,0.5,1,0.333333333
dates,2,Declaration,20,1776,1775.75,1775.5,0.25,0.5,2.25,6,6.25,0.25,0.5,0.577350269,1.154700538,1776,1775,0.000140766,4,0.816496581,0,0
dates,2,Declaration,21,1776,1775.666667,1776,0.333333333,0,2,6.333333333,7,0.666666667,0.577350269,0,0,1776,1775,0.000187688,3,0.5,1,0.333333333
dates,2,Declaration,22,1776,1782,1781,6,5,2.25,6.25,6.75,0.5,10.70825227,10,0.93385921,1776,1798,0.003378378,4,0.544331054,1,0.5
dates,2,Declaration,23,1776,1793.5,1776,17.5,0,3,5.25,6.25,1,35,0,0,1776,1846,0.009853604,4,0.816496581,1,0.25
dates,2,Declaration,24,1776,1711.75,1776,64.25,0,2.75,5.5,6.75,1.25,128.5,0,0,1776,1519,0.036176802,4,0.816496581,1,0.25
dates,2,Declaration,25,1776,1770.8,1776,5.2,0,2.2,5.6,7,1.4,11.62755348,0,0,1776,1750,0.002927928,5,0.745355992,1,0.2
dates,2,Declaration,26,1776,1773,1776,3,0,2.2,5.8,6.2,0.4,5.656854249,0,0,1776,1763,0.001689189,5,0.412478956,1,0.4
dates,2,Declaration,27,1776,1788.8,1776,12.8,0,2,5.8,6.8,1,49.85178031,0,0,1776,1874,0.007207207,5,1,1,0.4
dates,2,Declaration,28,1776,1731,1775.6,45,0.4,3.2,4.8,6.8,2,149.415528,0.894427191,0.005986173,1776,1471,0.025337838,5,0.894427191,1,0.4
dates,2,Declaration,29,1776,1793.8,1776,17.8,0,2.8,5.8,6.8,1,39.80201,0,0,1776,1865,0.010022523,5,0.40824829,1,0.2
dates,2,Declaration,30,1776,1775.2,1775.2,0.8,0.8,2.4,5.6,6.2,0.6,1.788854382,1.788854382,1,1776,1772,0.00045045,5,0.186338998,0,0
dates,2,Declaration,31,1776,1779.666667,1776,3.666666667,0,2.833333333,5.833333333,6.666666667,0.833333333,8.238122764,0,0,1776,1796,0.002064565,6,0,1,0.5
dates,2,Declaration,32,1776,1776.75,1776,0.75,0,3.5,3.5,6.5,3,0.957427108,0,0,1776,1778,0.000422297,4,0.388888889,1,0.5
dates,2,Declaration,33,1776,1778.5,1776,2.5,0,3.25,5,6.5,1.5,5,0,0,1776,1786,0.001407658,4,0.816496581,1,0.25
dates,2,Declaration,34,1776,1768.25,1776,7.75,0,2,6.25,6.25,0,15.5,0,0,1776,1745,0.004363739,4,1,1,0.25
dates,2,Declaration,36,1776,1775.4,1776,0.6,0,1.6,5.8,7,1.2,8.173126697,0,0,1776,1763,0.000337838,5,0.875,1,0.4
dates,2,Declaration,37,1776,1777.6,1776,1.6,0,1.8,6,6.4,0.4,2.607680962,0,0,1776,1782,0.000900901,5,0.294627825,1,0.4
dates,2,Declaration,38,1776,1778.75,1776,2.75,0,3.25,5.25,6.75,1.5,5.5,0,0,1776,1787,0.001548423,4,0,1,0.25
dates,2,Declaration,39,1776,1782.25,1776,6.25,0,3.5,5.25,6.25,1,12.5,0,0,1776,1801,0.003519144,4,0.774596669,1,0.25
dates,5,First Olympics,1,1896,1907.5,1909.5,11.5,13.5,5.25,2.75,4.25,1.5,43.63866787,9.983319421,0.228772323,1902,1953,0.006065401,4,0.25819889,0,0.75
dates,5,First Olympics,2,1896,1938.666667,1923.666667,42.66666667,27.66666667,5.666666667,3.333333333,5.666666667,2.333333333,41.05281152,2.516611478,0.061301806,1904,1984,0.022503516,3,0.5,1,0.666666667
dates,5,First Olympics,3,1896,1949.333333,1944.666667,53.33333333,48.66666667,5.666666667,2.666666667,3.666666667,1,27.22743714,8.082903769,0.296866125,1928,1980,0.028129395,3,0,1,0.333333333
dates,5,First Olympics,4,1896,1911.25,1904,15.25,8,5,2.25,4.5,2.25,11.98262631,1.632993162,0.136280071,1896,1925,0.008043249,4,-0.737864787,1,0.75
dates,5,First Olympics,5,1896,1744,1920.8,152,24.8,5.8,2.2,5,2.8,416.4492766,1.788854382,0.004295492,1900,1000,0.080168776,5,-0.081110711,1,0.6
dates,5,First Olympics,6,1896,1742.6,1910.8,153.4,14.8,5,3.2,5.4,2.2,359.4840748,2.588435821,0.007200419,1908,1100,0.080907173,5,0.461690258,1,0.4
dates,5,First Olympics,7,1896,1920,1907,24,11,6.5,3,3.5,0.5,24.49489743,26,1.061445555,1900,1950,0.012658228,4,0.5,1,0.5
dates,5,First Olympics,8,1896,1863.5,1902,32.5,6,5.25,4.25,6.25,2,48.94554798,0,0,1900,1800,0.01714135,4,0.316227766,1,0.75
dates,5,First Olympics,9,1896,1831.6,1896,64.4,0,4.4,4,6.4,2.4,116.3735365,0,0,1908,1650,0.033966245,5,0.316227766,1,1
dates,5,First Olympics,10,1896,1878.4,1892,17.6,4,5.8,2.8,6.6,3.8,61.50447138,0,0,1892,1800,0.0092827,5,0.666885929,1,0.8
dates,5,First Olympics,11,1896,1711.25,1864.75,184.75,31.25,5,3,3,0,313.0509809,47.74498228,0.152515038,1948,1250,0.097441983,4,-0.316227766,1,0.5
dates,5,First Olympics,12,1896,1898.5,1916.5,2.5,20.5,5.5,2.5,3,0.5,67.67323449,16.8424068,0.248878407,1912,1800,0.001318565,4,0,0,0.75
dates,5,First Olympics,13,1896,1908.6,1895.2,12.6,0.8,5.4,3.4,5.4,2,28.52718002,1.788854382,0.062707018,1892,1956,0.00664557,5,-0.081110711,1,0.8
dates,5,First Olympics,14,1896,1921.5,1910,25.5,14,4.75,3.5,5,1.5,33.20140559,21.21320344,0.63892486,1880,1960,0.013449367,4,0,1,0.5
dates,5,First Olympics,15,1896,1917.5,1902,21.5,6,4.75,4.25,4.75,0.5,30.34798181,11.66190379,0.384272795,1908,1950,0.011339662,4,0.4,1,1
dates,5,First Olympics,16,1896,1906,1896,10,0,4.333333333,3,5.666666667,2.666666667,14,0,0,1896,1922,0.005274262,3,0.866025404,1,0.666666667
dates,5,First Olympics,17,1896,1925.25,1900,29.25,4,4.5,4,5.25,1.25,37.81864619,2.828427125,0.074789222,1896,1965,0.015427215,4,1,1,0.5
dates,5,First Olympics,18,1896,1730.75,1907.5,165.25,11.5,4,3.75,7,3.25,353.9240738,11,0.031080112,1902,1200,0.087157173,4,0.888888889,1,0.5
dates,5,First Olympics,19,1896,1906.5,1896,10.5,0,5.5,2.75,6,3.25,10.75484387,0,0,1896,1920,0.005537975,4,0.948683298,1,0.75
dates,5,First Olympics,20,1896,1776.25,1905,119.75,9,4.75,2.75,6,3.25,230.2583694,3.464101615,0.015044411,1900,1432,0.063159283,4,0.25819889,1,0.75
dates,5,First Olympics,21,1896,1907.333333,1906,11.33333333,10,5,4.333333333,4.666666667,0.333333333,15.53490693,15.09966887,0.971983221,1890,1920,0.005977496,3,0,1,0.333333333
dates,5,First Olympics,22,1896,1904,1912,8,16,4.75,2.75,5.5,2.75,4.320493799,0,0,1900,1910,0.004219409,4,0.8,0,0
dates,5,First Olympics,23,1896,1795.5,1777.25,100.5,118.75,3.75,3.75,4.25,0.5,253.9940944,197.8473738,0.778944779,1880,1418,0.053006329,4,-0.210818511,0,0.75
dates,5,First Olympics,24,1896,1688.5,1933.75,207.5,37.75,4.5,3.5,5,1.5,396.1763076,15.19594244,0.038356515,1864,1100,0.109440928,4,0.8,1,1
dates,5,First Olympics,25,1896,1792,1910.4,104,14.4,5.2,2.6,3.6,1,175.2712184,10.03992032,0.057282196,1920,1600,0.054852321,5,-0.296174439,1,0.6
dates,5,First Olympics,26,1896,1933.4,1936.6,37.4,40.6,5.6,2.6,4.2,1.6,34.27535558,10.85357084,0.316658154,1900,1976,0.019725738,5,0,0,0.4
dates,5,First Olympics,27,1896,1895.4,1921.2,0.6,25.2,4.8,4,4.6,0.6,30.17946322,6.57267069,0.217786203,1907,1850,0.000316456,5,-0.729996395,0,0.2
dates,5,First Olympics,28,1896,1779,1897.8,117,1.8,5.8,2.2,5.4,3.2,216.3446325,10.54514106,0.048742328,1890,1400,0.061708861,5,0.458831468,1,0.8
dates,5,First Olympics,29,1896,1832.4,1904.4,63.6,8.4,5.6,2.8,4,1.2,140.031425,30.6071887,0.218573714,1920,1600,0.033544304,5,0.286769667,1,0.6
dates,5,First Olympics,30,1896,1883.4,1899.2,12.6,3.2,5.4,2.2,4,1.8,36.65787773,21.00476136,0.572994474,1900,1829,0.00664557,5,-0.051298918,1,0.4
dates,5,First Olympics,31,1896,1890.333333,1898,5.666666667,2,5.5,2.666666667,4.166666667,1.5,72.2264956,9.208691547,0.127497416,1900,1750,0.002988748,6,0.215614386,1,0.666666667
dates,5,First Olympics,32,1896,1914.5,1896,18.5,0,4.25,4,6.25,2.25,15.26433752,0,0,1896,1932,0.009757384,4,0.316227766,1,0.75
dates,5,First Olympics,33,1896,1679.5,1668.25,216.5,227.75,4.5,3.5,4.5,1,454.7537795,445.6443836,0.97996851,1928,1000,0.114187764,4,-0.25819889,0,0.75
dates,5,First Olympics,34,1896,1925.25,1915,29.25,19,3.5,5.25,4.5,-0.75,40.31025511,24.9532897,0.619030806,1865,1950,0.015427215,4,0.632455532,1,0.75
dates,5,First Olympics,35,1896,1641,1936.25,255,40.25,6,2.75,4.5,1.75,358.0930978,18.87458609,0.052708601,1910,1200,0.134493671,4,0.948683298,1,0.75
dates,5,First Olympics,36,1896,1909.6,1885,13.6,11,5.4,3,4,1,48.2006224,38.35361782,0.795707937,1912,1965,0.007172996,5,0.5,1,0.8
dates,5,First Olympics,37,1896,1871.2,1894.8,24.8,1.2,3,5.6,6.2,0.6,70.15126513,1.788854382,0.025499959,1896,1750,0.013080169,5,0.474341649,1,0.8
dates,5,First Olympics,38,1896,1855,1903.5,41,7.5,6,2,4.5,2.5,64.03124237,14.45683229,0.225777788,1900,1800,0.021624473,4,0.5,1,0.75
dates,5,First Olympics,39,1896,1884,1896,12,0,4.5,3.5,6.75,3.25,57.13142743,0,0,1896,1800,0.006329114,4,0.833333333,1,0.75
dates,7,Genghis Khan,1,1162,1439,1237,277,75,6.5,1.75,4.25,2.5,303.7828172,26,0.085587461,1150,1856,0.2383821,4,0.774596669,1,0.75
dates,7,Genghis Khan,2,1162,1710.666667,1712.333333,548.6666667,550.3333333,5.666666667,3.666666667,2.333333333,-1.333333333,96.54705243,95.00701728,0.984048864,1650,1822,0.472174412,3,0,0,0
dates,7,Genghis Khan,3,1162,1200,1300,38,138,5.666666667,1.666666667,4.333333333,2.666666667,180.2775638,0,0,1250,1350,0.032702238,3,0.866025404,0,0.666666667
dates,7,Genghis Khan,4,1162,1405.5,1345.5,243.5,183.5,5.25,2.75,3.75,1,145.2847778,19.68925257,0.135521786,1300,1620,0.209552496,4,0.948683298,1,0.25
dates,7,Genghis Khan,5,1162,1144,1202,18,40,6.2,1.4,2,0.6,93.16651759,4.472135955,0.048001536,1200,1000,0.015490534,5,-0.296174439,0,0.6
dates,7,Genghis Khan,6,1162,1351,1230,189,68,6,1.6,4.2,2.6,294.1598205,28.28427125,0.096152735,1200,1850,0.162650602,5,0.894427191,1,0.6
dates,7,Genghis Khan,7,1162,1550,1144.75,388,17.25,6.5,3.5,3.5,0,405.381302,55.22906843,0.136239802,1110,1899,0.333907057,4,0.316227766,1,1
dates,7,Genghis Khan,8,1162,1350,1250,188,88,5.75,2.75,3.25,0.5,191.4854216,251.6611478,1.314257481,1200,1600,0.161790017,4,-0.833333333,1,0.25
dates,7,Genghis Khan,9,1162,1260.8,1150,98.8,12,4.8,3.4,6,2.6,278.5376097,0,0,1150,1750,0.085025818,5,0.162221421,1,0.6
dates,7,Genghis Khan,10,1162,1444,1348,282,186,6.2,2,5.6,3.6,211.9669786,4.472135955,0.021098267,1270,1700,0.242685026,5,0.973328527,1,0.4
dates,7,Genghis Khan,11,1162,1377.5,1425.5,215.5,263.5,6,1.75,2,0.25,286.6141425,263.9463329,0.920911755,1200,1802,0.18545611,4,0.25819889,0,0
dates,7,Genghis Khan,12,1162,1418.25,1351.5,256.25,189.5,6.25,2.25,2.75,0.5,207.6830518,53.0691373,0.255529456,1200,1700,0.220524957,4,-0.25819889,1,0.5
dates,7,Genghis Khan,13,1162,1302.6,1212.4,140.6,50.4,6.4,1.6,3.2,1.6,199.6967701,20.40343108,0.102172064,1200,1624,0.120998279,5,0.111803399,1,0.6
dates,7,Genghis Khan,14,1162,1467.5,1232.5,305.5,70.5,6.25,2.75,4,1.25,325.2050635,69.46221995,0.213595137,1200,1930,0.262908778,4,0.632455532,1,0.5
dates,7,Genghis Khan,15,1162,1489.25,1100,327.25,62,6,2,3.75,1.75,233.9421225,0,0,1200,1700,0.281626506,4,0.737864787,1,0.75
dates,7,Genghis Khan,16,1162,1312.333333,1337.333333,150.3333333,175.3333333,6,2.666666667,5,2.333333333,78.14303125,64.66323015,0.827498359,1250,1400,0.129374641,3,0.866025404,0,0
dates,7,Genghis Khan,17,1162,1333,1103.75,171,58.25,6.25,2.25,3.75,1.5,151.0717269,7.5,0.049645292,1150,1500,0.147160069,4,0.948683298,1,0.75
dates,7,Genghis Khan,18,1162,1207.5,1307.5,45.5,145.5,5.75,3.25,4.75,1.5,198.8927684,86.1684397,0.433240687,1100,1450,0.039156627,4,0.737864787,0,0.5
dates,7,Genghis Khan,19,1162,1223.75,1192.75,61.75,30.75,6,3,3.25,0.25,94.46119133,110.0162867,1.16467181,1200,1300,0.053141136,4,-0.4,1,0.5
